Phylum,Class,Order,Family,Genus,Species,Taxa,TSN,Common_name,Sex,Size_Maturity,Season_or_doy,Capture_method,Region,LME_Continent,Ocean_Freshwater,Storage_method,Storage_duration_years,Methodology,Sample_Type,N_replicates,Size_min_mm,Size_max_mm,Size_min_g,Size_max_g,Ash_perc,H2O_perc,Lipid_perc,AFLDM,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg_mean,Wet_KJg_SD,Wet_KJg_min,Wet_KJg_max,Indigestible_perc,Publication_Type,Publication_Author,Publication_Journal,Publication_Year,Notes
Chordata,Teleostei,Ophidiiformes,Ophidiidae,Genypterus,blacodes,Genypterus blacodes,165000,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,22.4,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Stomiiformes,Phosichthyidae,Phosichthys,argenteus,Phosichthys argenteus,622700,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,23,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Oplophoridae,Oplophorus,spinosus,Oplophorus spinosus,96145,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,23.5,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Gadiformes,Macrouridae,Lepidorhynchus,denticulatus,Lepidorhynchus denticulatus,165425,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,11,NA,NA,NA,NA,NA,NA,NA,NA,23.6,0.4,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Helicolenus,percoides,Helicolenus percoides,166791,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,2,NA,NA,NA,NA,NA,NA,NA,NA,23.8,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Mollusca,Cephalopoda,Sepiolida,Sepiolidae,Iridoteuthis,N/A,Iridoteuthis,555762,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,1,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Aristeidae,Aristaeomorpha,foliacea,Aristaeomorpha foliacea,96056,Giant gamba prawn,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,23.9,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Aulopiformes,Paraulopidae,Paraulopus,nigripinnis,Paraulopus nigripinnis,644737,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,9,NA,NA,NA,NA,NA,NA,NA,NA,24.1,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Mollusca,Cephalopoda,Teuthida,Enoploteuthidae,Enoploteuthis,N/A,Enoploteuthis,82396,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,1,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Pleuronectiformes,Rhombosoleidae,Azygopus,pinnifasciatus,Azygopus pinnifasciatus,616111,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,8,NA,NA,NA,NA,NA,NA,NA,NA,24.6,0.5,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Beryciformes,Trachichthyidae,Hoplostethus,intermedius,Hoplostethus intermedius,622155,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,25.1,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Perciformes,Trachinidae,Trachurus,declivis,Trachurus declivis,168596,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,25.6,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampichthys,procerus,Lampichthys procerus,623746,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,25.8,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Perciformes,Epigonidae,Epigonus,lenimen,Epigonus lenimen,168306,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,26.8,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,danae,Diaphus danae,623763,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,26.9,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Perciformes,Gempylidae,Rexea,solandri,Rexea solandri,550883,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,27,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,australis,Lampanyctus australis,182882,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,27.1,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,muelleri,Maurolicus muelleri,162187,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,11,NA,NA,NA,NA,NA,NA,NA,NA,28.1,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Perciformes,Epigonidae,Epigonus,denticulatus,Epigonus denticulatus,168301,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,28.5,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctodes,hectoris,Lampanyctodes hectoris,623730,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,9,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0.7,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Perciformes,Acropomatidae,Apogonops,anomalus,Apogonops anomalus,641861,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,13,NA,NA,NA,NA,NA,NA,NA,NA,31,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,sapidus,Callinectes sapidus,98696,Atlantic blue crab,NA,Adult,Winter,Various,Newport River Estuary,Northeast US Continental Shelf,Atlantic,None,0,Bomb calorimetry,Whole body,6,NA,NA,NA,NA,46.4,67.4,NA,NA,13.4,1.6,25,4.37,0.511,NA,NA,NA,Original,Thayer et al.,Fishery Bulletin,1973,N/A
Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,villosus,Mallotus villosus,162035,Capelin,NA,Adult,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,146,80,133,2.19,23.5,87.5,74.7,NA,NA,20.5,0.1,NA,5.04,0.28,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,pallasii,Clupea pallasii,551209,Pacific herring,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,229,101,194,9.7,76.1,86.3,0.1,NA,NA,21.3,0.1,NA,5.84,0.19,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Scorpaeniformes,Cottidae,Triglops,pingelii,Triglops pingeli,167373,Ribbed sculpin,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,5,107,160,7.16,12.8,77.7,72.7,NA,NA,17.9,0.4,NA,4.8,1.06,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,hexapterus,Ammodytes hexapterus,171672,Pacific sand lance,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,242,103,188,3.7,26.5,88.1,73.1,NA,NA,20.6,0,NA,5.74,0.07,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Scorpaeniformes,Cottidae,Artedius,fenestralis,Artedius fenestralis,167212,Padded sculpin,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,4,80,94,8.36,18.5,81.7,74.8,NA,NA,17.9,0.2,NA,4.37,0.62,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Scorpaeniformes,Cottidae,Oligocottus,maculosus,Oligocottus maculosus,167333,Tidepool sculpin,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,6,110,130,18,38,78.5,75,NA,NA,15.8,0.1,NA,3.84,0.51,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Pleuronectiformes,N/A,N/A,N/A,Pleuronectiformes,172702,N/A,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,2,83,91,8.48,15.4,84,76.8,NA,NA,17.2,0.2,NA,3.95,0.3,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Oncorhynchus gorbuscha,161975,Pink salmon,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,9,102,135,10.6,19.5,87.4,77.3,NA,NA,16.9,0.1,NA,3.73,0.09,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Perciformes,Trichodontidae,Trichodon,trichodon,Trichodon trichodon,170919,Pacific sandfish,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,8,100,112,17.5,22.3,83.8,78.2,NA,NA,19.5,0.2,NA,4.23,0.35,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,proximus,Microgadus proximus,164719,Pacific tomcod,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,3,103,160,7.8,25,82.5,78.9,NA,NA,15.3,0.1,NA,3.16,0.38,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Gadiformes,Gadidae,Gadus,macrocephalus,Gadus macrocephalus,164711,Pacific cod,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,5,111,136,11.9,23.1,83.9,78.9,NA,NA,16.8,0.2,NA,3.54,0.36,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Perciformes,Zaproridae,Zaprora,silenus,Zaprora silenus,171659,Prowfish,NA,Large,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,8,100,118,11.6,33,84.5,84,NA,NA,18.1,0.2,NA,3.01,0.29,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Stenobrachius leucopsarus,162664,Northern lampfish,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,2,37,73,0.33,3.7,86.5,61.9,NA,NA,25.3,0.7,NA,8.49,0.7,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Osmeriformes,Osmeridae,Thaleichthys,pacificus,Thaleichthys pacificus,162051,Eulachon,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,34,138,202,19,84.2,88.2,71,NA,NA,27.2,0.2,NA,7.49,0.19,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Scorpaeniformes,Cottidae,Triglops,macellus,Triglops macellus,167371,Rough spine sculpin,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,2,107,116,5.96,13.2,83.4,71.5,NA,NA,19,0.8,NA,5.26,2.15,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,tenuis,Cottus tenuis,167254,Slender sculpin,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,1,80,80,2.7,2.7,77.6,72.5,NA,NA,16.2,NA,NA,4.29,NA,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,pretiosus,Hypomesus pretiosus,162030,Surf smelt,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,7,101,131,9.64,23.7,88.6,73.2,NA,NA,18.8,0.4,NA,4.39,0.69,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeus,punctatus,Stichaeus punctatus,171596,Arctic shanny,NA,N/A,Summer,Various,Northern Gulf of Alaska,Gulf of Alaska,Pacific,Frozen,1,Proximate composition,Whole body,11,76,112,6.38,12.7,85.4,73.7,NA,NA,18.7,0.2,NA,4.79,0.08,NA,NA,NA,Original,Anthony et al.,Journal of Experimental Marine Biology and Ecology,2000,"AFDM expressed as lipid free mass, so it's lean dry mass"
